OBJECTID,STOP_ID,LAST_UPDATE_DATE,GeometryEasting,GeometryNorthing
1,99801,2023-03-04,834420,815416
2,99802,2023-03-04,834327,815284
3,99803,2023-03-04,834279,815173
4,99804,2023-03-04,834119,814990
5,99805,2023-03-04,833662,814686
6,99806,2023-03-04,833451,814723
